videoId,title,publishTime,viewCount,commentCount
tIeHLnjs5U8,Backpropagation calculus | Deep Learning Chapter 4,2017-11-03 14:08:09+00:00,3727501,2329
OkmNXy7er84,The hardest problem on the hardest test,2017-12-08 15:04:57+00:00,16374968,20275
liL66CApESk,Q&amp;A #2 + Net Neutrality Nuance,2017-12-14 15:57:43+00:00,148726,318
VvCytJvd4H0,Why this puzzle is impossible,2017-12-23 16:43:38+00:00,3268911,5942
spUNpyF58BY,But what is the Fourier Transform?  A visual introduction.,2018-01-26 18:47:48+00:00,12014576,9149
MBnnXbOM5S4,"The more general uncertainty principle, regarding Fourier transforms",2018-02-25 00:25:00+00:00,2277161,2111
d-o3eB9sfls,Why is pi here?  And why is it squared?  A geometric answer to the Basel problem,2018-03-02 16:23:29+00:00,7163584,4785
bcPTiiiYDs8,How pi was almost 6.283185...,2018-03-14 13:05:32+00:00,1764022,1934
b7FxPsqfkOY,Winding numbers and domain coloring,2018-03-24 14:42:51+00:00,965701,1493
8GPy_UMV-08,"The Wallis product for pi, proved geometrically",2018-04-20 18:59:28+00:00,897083,1078
CfW845LNObM,"The other way to visualize derivatives | Chapter 12, Essence of calculus",2018-05-19 14:09:16+00:00,3749974,3091
rB83DpBJQsE,"Divergence and curl:  The language of Maxwell&#39;s equations, fluid flow, and more",2018-06-21 18:34:59+00:00,5052392,4042
VcgJro0sTiM,Other math channels you&#39;d enjoy,2018-06-27 16:29:07+00:00,238777,478
pQa_tWZmlGs,Why slicing a cone gives an ellipse (beautiful proof),2018-08-01 15:13:51+00:00,2333355,2591
Qe6o9j4IjTo,Q&amp;A with Grant Sanderson (3blue1brown),2018-08-24 16:34:02+00:00,824743,2238
d4EgbgTm0Bg,Visualizing the 4d numbers Quaternions,2018-09-06 14:59:33+00:00,5399072,5065
zjMuIxRvygQ,"Quaternions and 3d rotation, explained interactively",2018-10-26 16:31:52+00:00,1486108,864
_UoTTq651dE,Why 5/3 is a fundamental constant for turbulence,2018-11-07 20:20:32+00:00,783337,881
yuVqxCSsE7c,Using topology for discrete problems | The Borsuk-Ulam theorem and stolen necklaces,2018-11-18 14:09:20+00:00,949379,1285
GNcFjFmqEc8,But why is a sphere&#39;s surface area four times its shadow?,2018-12-02 20:08:11+00:00,8687606,4891
HEfHFsfGXjs,The most unexpected answer to a counting puzzle,2019-01-13 16:12:47+00:00,14257977,6965
brU5yLm9DZM,How colliding blocks act like a beam of light...to compute pi.,2019-02-03 16:23:07+00:00,1375289,1597
jBsC34PxzoM,"Cramer&#39;s rule, explained geometrically | Chapter 12, Essence of linear algebra",2019-03-17 04:35:22+00:00,1469186,965
p_di4Zn4wz4,"Differential equations, a tourist&#39;s guide | DE1",2019-03-31 15:15:50+00:00,5603926,3904
ly4S0oi3Yz8,But what is a partial differential equation?  | DE2,2019-04-21 16:53:21+00:00,3122677,2474
ToIXSwZ1pJU,Solving the heat equation | DE3,2019-06-16 16:31:00+00:00,1614873,997
r6sGWTCMz2k,But what is a Fourier series?  From heat flow to drawing with circles | DE4,2019-06-30 14:50:20+00:00,18732312,4387
-qgreAUpPwM,Pure Fourier series animation montage,2019-07-03 04:05:19+00:00,683807,1256
v0YEaeIClKY,"e^(iπ) in 3.14 minutes, using dynamics | DE5",2019-07-07 14:08:18+00:00,3312030,2333
M64HUIJFTZM,"The unexpectedly hard windmill question (2011 IMO, Q2)",2019-08-04 17:03:51+00:00,5583159,7118
EK32jo7i5LQ,Why do prime numbers make these spirals? | Dirichlet’s theorem and pi approximations,2019-10-08 17:02:51+00:00,7454225,7299
Agbh95KyWxY,"Q&amp;A with Grant, windy walk edition",2019-11-23 01:00:14+00:00,448525,1238
HZGCoVF3YvM,"Bayes theorem, the geometry of changing beliefs",2019-12-22 14:31:56+00:00,5680532,4197
U_85TaXbeIo,The quick proof of Bayes&#39; theorem,2019-12-22 14:45:25+00:00,553301,458
Kas0tIxDvrg,Exponential growth and epidemics,2020-03-08 16:58:19+00:00,6015548,6114
8idr1WZ1A7Q,"Binomial distributions | Probabilities of probabilities, part 1",2020-03-15 18:28:16+00:00,2554538,2339
gxAaO2rsdIs,Simulating an epidemic,2020-03-27 19:47:30+00:00,5211851,6388
ZA4JkHKZM50,"Why “probability of 0” does not mean “impossible” | Probabilities of probabilities, part 2",2020-04-12 15:41:30+00:00,3304601,3725
ppWPuXsnf1Q,Lockdown math announcement,2020-04-16 21:25:09+00:00,955324,2509
MHXO86wKeDY,The simpler quadratic formula | Ep. 1 Lockdown live math,2020-04-17 20:04:24+00:00,1452056,2299
5PcpBw5Hbwo,Complex number fundamentals | Ep. 3 Lockdown live math,2020-04-24 20:31:26+00:00,2073966,2043
ZxYOEwM6Wbk,What is Euler&#39;s formula actually saying? | Ep. 4 Lockdown live math,2020-04-28 19:58:20+00:00,1653132,2107
IAEASE5GjdI,Imaginary interest rates | Ep. 5 Lockdown live math,2020-05-01 20:11:37+00:00,946473,1050
cEvgcoyZvB4,Logarithm Fundamentals | Ep. 6 Lockdown live math,2020-05-05 20:36:51+00:00,1161266,871
4PDoT7jtxmw,What makes the natural log &quot;natural&quot;? | Ep. 7 Lockdown live math,2020-05-08 20:22:12+00:00,1713563,1409
elQVZLLiod4,The power tower puzzle | Ep. 8 Lockdown live math,2020-05-12 19:59:48+00:00,932722,1148
D__UaR5MQao,The DP-3T algorithm for contact tracing (with Nicky Case),2020-05-14 15:00:01+00:00,363002,1548
pq9LcwC7CoY,Intuition for i to the power i | Ep. 9 Lockdown live math,2020-05-15 21:23:19+00:00,586123,721
QvuQH4_05LI,Tips to be a better problem solver [Last live lecture] | Ep. 10 Lockdown live math,2020-05-22 20:14:56+00:00,1428279,1011
mH0oCDa74tE,"Group theory, abstraction, and the 196,883-dimensional monster",2020-08-19 14:01:39+00:00,3629066,5737
X8jsijhllIA,But what are Hamming codes? The origin of error correction,2020-09-04 15:32:50+00:00,2929354,2252
